Product,Original Price,Selling Price,Units Sold,Tag,revenue,discount_percent
Side Bed Table With LED Light Bedside Tables for the Bedroom Furniture Generic Nightstand Set of 2 LED Nightstand With 2 Drawers,247.81,142.68,28,Free shipping,3995.04,42.42
"4-Piece Patio Furniture Wicker Outdoor Bistro Set, All-Weather Chairs , Balcony and Deck with Soft Cushions and Metal Table",425.67,249.4,3,Free shipping,748.2,41.41
"GYUTEI Aluminium Patio Furniture Set, 7 Pieces of Outdoor Furniture, PE Rattan with Storage Table with 2 Footstools (Beige)",,550.15,2,Free shipping,1100.3,0.0
"Garden Furniture Sets, Outdoor PE Rattan Lounge Daybed with Retractable Canopy & 2 Folding Side Trays, Patio Furniture Set",,295.19,3,Free shipping,885.5699999999999,0.0
"4-Piece Rattan Patio Furniture Set, Chairs, and Table Set for Outdoor Living Spaces, with Cushions and Metal Table",,243.78,1,Free shipping,243.78,0.0
Outdoor Furniture Sets Sectional PE Rattan Outdoor Furniture Patio Conversation Set with Cushions for Balcony Lawn and Garden,,441.86,2,Free shipping,883.72,0.0
White Dresser for Bedroom Furnitures Toilet Furniture Makeup Table Entryway and Hallway 6 Drawer Dresser With Gold Hardware Desk,,182.94,1,Free shipping,182.94,0.0
Miereirl Round Nesting Coffee Table Circle Accent Tables for Small Spaces Side End Set of 2 Living Room Balcony Office,,46.1,4,Free shipping,184.4,0.0
Girl Free Shipping Wood Wardrobes Multifunction Storage Bedroom Designer Cupboard Clothes Drawer Vestidores Salon Furniture,,10.24,4,Free shipping,40.96,0.0
"Patio Furniture Sets, 7 Piece PE Rattan Wicker Sofa Set, Outdoor Sectional Furniture Chair Set, Outdoor Furniture Sets",,277.65,3,Free shipping,832.9499999999999,0.0
6-Drawer Double Dresser Make Up Table Pure Black With Brushed Nickel Handles Vanity Desk Women's Furniture Makeup Dressing Table,,142.88,7,Free shipping,1000.16,0.0
"6 Pieces Outdoor Rattan Furniture Sets with 2 Wood Armrests Swivel Rocker Chairs, 2 Ottoman, 3-Seat Sofa and Coffee Table",,701.52,1,Free shipping,701.52,0.0
Flamaker 3 Pieces Patio Set Outdoor Wicker Furniture Sets Modern Rattan Chair Conversation Sets with Coffee Table,167.87,77.94,5,Free shipping,389.7,53.57
7pcs Outdoor Patio Table and Chairs Set of 6 Outdoor Dining Set for 6 Patio Dining Sets Back Yard Furniture Set,,254.86,1,Free shipping,254.86,0.0
"2023 New Easyfashion Convertible Black Faux Leather Futon Sofa Bed, Black/White",,132.74,9,Free shipping,1194.66,0.0
Wicker Rattan Patio Furniture Set of 8 Chairs With Soft Cushions and 2 Square Tables With Umbrella Cutout Grey Outdoor Chair,,554.95,1,Free shipping,554.95,0.0
"8 Pieces Outdoor Wicker Rattan Patio Furniture Sectional Set,Glass Top Table Hidden Storage,7 Sofa Sections, Oversized Cushions",,534.86,5,Free shipping,2674.3,0.0
"Furinno JAYA Large Stand for Up To 50-Inch TV, Columbia Walnut/Black/Dark Brown Tv Stand Living Room Furniture",,43.67,6,Free shipping,262.02,0.0
Gaming Chair Pink Gaming Chair for Girls Gift Office Chairs Computer Armchair Gamingchair Gamer Ergonomic Furniture,,112.62,9,Free shipping,1013.58,0.0
"Garden Furniture 4 Pieces Sets, Outdoor Wicker Rattan Chairs Gardens with Soft Cushion and Glass Table, Garden Furniture Set",249.6,143.76,3,Free shipping,431.28,42.4
